File;Total time;NumProcs;soundLength;Diff;SR
trumpet.wav ; 0.756034 ;  4 ;  4.405600 ;  3.649566 ; 1
trumpet.wav ; 0.627472 ;  4 ;  4.405600 ;  3.778128 ; 1
trumpet.wav ; 0.632850 ;  4 ;  4.405600 ;  3.772750 ; 1
trumpet.wav ; 0.646751 ;  4 ;  4.405600 ;  3.758849 ; 1
trumpet.wav ; 0.633520 ;  4 ;  4.405600 ;  3.772080 ; 1
trumpet.wav ; 0.671832 ;  4 ;  4.405600 ;  3.733768 ; 1
trumpet.wav ; 0.629041 ;  4 ;  4.405600 ;  3.776559 ; 1
trumpet.wav ; 0.656370 ;  4 ;  4.405600 ;  3.749230 ; 1
trumpet.wav ; 0.657686 ;  4 ;  4.405600 ;  3.747914 ; 1
trumpet.wav ; 0.614789 ;  4 ;  4.405600 ;  3.790811 ; 1
trumpet.wav ; 0.620268 ;  4 ;  4.405600 ;  3.785332 ; 1
trumpet.wav ; 0.632978 ;  4 ;  4.405600 ;  3.772622 ; 1
